"c_chave";"c_codprod";"c_descr"
"0000003722";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000003944";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004057";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004155";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004257";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004263";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004366";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004475";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004537";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000004558";"00561";"SUCO CONCENTRADO SABOR CAJU 500ML"
"0000003420";"00562";"AGUA MINERAL GALAO 20L"
"0000003550";"00562";"AGUA MINERAL GALAO 20L"
"0000003722";"00562";"AGUA MINERAL GALAO 20L"
"0000003944";"00562";"AGUA MINERAL GALAO 20L"
"0000004057";"00562";"AGUA MINERAL GALAO 20L"
"0000004155";"00562";"AGUA MINERAL GALAO 20L"
"0000004257";"00562";"AGUA MINERAL GALAO 20L"
"0000004263";"00562";"AGUA MINERAL GALAO 20L"
"0000004366";"00562";"AGUA MINERAL GALAO 20L"
"0000004475";"00562";"AGUA MINERAL GALAO 20L"
"0000004537";"00562";"AGUA MINERAL GALAO 20L"
"0000004558";"00562";"AGUA MINERAL GALAO 20L"
"0000003420";"00563";"AGUA MINERAL COPO 200ML"
"0000003550";"00563";"AGUA MINERAL COPO 200ML"
"0000003722";"00563";"AGUA MINERAL COPO 200ML"
"0000003944";"00563";"AGUA MINERAL COPO 200ML"
"0000004057";"00563";"AGUA MINERAL COPO 200ML"
"0000004155";"00563";"AGUA MINERAL COPO 200ML"
"0000004257";"00563";"AGUA MINERAL COPO 200ML"
"0000004263";"00563";"AGUA MINERAL COPO 200ML"
"0000004366";"00563";"AGUA MINERAL COPO 200ML"
"0000004475";"00563";"AGUA MINERAL COPO 200ML"
"0000004537";"00563";"AGUA MINERAL COPO 200ML"
"0000004558";"00563";"AGUA MINERAL COPO 200ML"
"0000003420";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000003550";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000003722";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000003944";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004057";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004155";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004257";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004263";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004366";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004475";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004537";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000004558";"00565";"AGUA MINERAL FRASCO 500ML S/G"
"0000003422";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000003552";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000003721";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000003943";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004056";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004155";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004257";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004263";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004366";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004476";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004537";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000004558";"00569";"CARNE BOVINA MACICA TIPO COXAO MOLE"
"0000003422";"00570";"PEIXE EM POSTA SEM CABECA"
"0000003552";"00570";"PEIXE EM POSTA SEM CABECA"
"0000003721";"00570";"PEIXE EM POSTA SEM CABECA"
"0000003943";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004056";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004155";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004257";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004263";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004366";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004476";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004537";"00570";"PEIXE EM POSTA SEM CABECA"
"0000004558";"00570";"PEIXE EM POSTA SEM CABECA"
"0000003420";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
"0000003550";"00573";"CEREAL A BASE DE FARINHA DE ARROZ"
